top_category,top_material,top_color,top_color_code,bottom_category,bottom_material,bottom_color,bottom_color_code,shoes_category,shoes_material,shoes_color,shoes_color_code,style,temperature,weather_condition,score
Coat,Nylon,"[178, 2, 253]",83.24,Joggers,Silk,"[35, 18, 147]",37.79,Heels,Knit,"[51, 162, 60]",117.18,Bohemian,6,Rainy,6.0
Tunic,Nylon,"[40, 227, 24]",147.94,Sweatpants,Cotton,"[32, 53, 193]",62.68,Moccasins,Suede,"[251, 64, 141]",128.69,Preppy,7,Snowy,1.5
Tank Top,Velvet,"[67, 153, 183]",130.71,Joggers,Polyester,"[206, 135, 56]",147.22,Sandals,Rubber,"[136, 23, 131]",69.1,Minimalist,22,Cloudy,5.0
Blouse,Fleece,"[201, 97, 123]",131.06,Sweatpants,Leather,"[11, 185, 15]",113.59,Moccasins,Suede,"[158, 88, 44]",103.91,Casual,20,Sunny,5.0
Cardigan,Linen,"[91, 91, 49]",86.21,Skirt,Linen,"[146, 102, 177]",123.71,Heels,Wool,"[127, 58, 14]",73.62,Vintage,6,Windy,5.0
Blouse,Linen,"[117, 19, 55]",52.41,Shorts,Polyester,"[30, 175, 30]",115.11,Running Shoes,Mesh,"[186, 182, 227]",188.33,Vintage,8,Rainy,5.0
Cardigan,Linen,"[86, 232, 160]",180.14,Joggers,Denim,"[36, 182, 102]",129.23,Heels,Rubber,"[116, 76, 155]",96.97,Elegant,24,Sunny,5.0
Hoodie,Leather,"[38, 28, 192]",49.69,Culottes,Cotton,"[11, 8, 109]",20.41,Oxfords,Rubber,"[38, 100, 64]",77.36,Sporty,35,Windy,1.0
Cardigan,Wool,"[67, 137, 172]",120.06,Sweatpants,Nylon,"[24, 78, 43]",57.86,Heels,Knit,"[29, 12, 44]",20.73,Bohemian,-5,Windy,5.0
Polo,Leather,"[61, 206, 197]",161.62,Jeans,Velvet,"[34, 174, 57]",118.8,Heels,Synthetic,"[180, 198, 9]",171.07,Vintage,9,Sunny,5.0
T-shirt,Leather,"[49, 47, 130]",57.06,Chinos,Velvet,"[132, 44, 159]",83.42,Flip-Flops,Suede,"[6, 98, 40]",63.88,Vintage,13,Rainy,3.0
Blouse,Leather,"[35, 99, 238]",95.71,Joggers,Cotton,"[164, 101, 39]",112.77,Oxfords,Synthetic,"[158, 241, 130]",203.53,Formal,12,Snowy,1.5
Jacket,Linen,"[140, 32, 188]",82.08,Skirt,Cotton,"[30, 24, 157]",40.96,Heels,Rubber,"[165, 32, 168]",87.27,Minimalist,32,Rainy,6.0
Jacket,Velvet,"[92, 164, 250]",152.28,Culottes,Nylon,"[67, 232, 218]",181.07,Loafers,Rubber,"[208, 99, 82]",129.65,Streetwear,10,Windy,3.5
Sweater,Fleece,"[241, 161, 160]",184.81,Culottes,Denim,"[89, 48, 135]",70.18,Boots,Knit,"[116, 54, 15]",68.09,Business Casual,-1,Windy,7.5
Tunic,Cotton,"[134, 106, 249]",130.67,Leggings,Cotton,"[168, 153, 81]",149.28,Heels,Suede,"[112, 62, 12]",71.25,Preppy,19,Windy,5.0
Cardigan,Silk,"[139, 207, 111]",175.72,Cargo Pants,Linen,"[178, 214, 199]",201.53,Flip-Flops,Canvas,"[226, 21, 236]",106.8,Vintage,17,Snowy,1.5
Sweater,Fleece,"[36, 117, 35]",83.43,Shorts,Fleece,"[225, 138, 9]",149.31,Boots,Denim,"[110, 152, 55]",128.38,Streetwear,10,Snowy,5.0
Polo,Silk,"[198, 254, 131]",223.23,Leggings,Silk,"[103, 238, 110]",183.04,Heels,Denim,"[13, 64, 113]",54.34,Vintage,9,Windy,5.0
Sweater,Silk,"[96, 15, 133]",52.67,Jeans,Fleece,"[92, 82, 212]",99.81,Sandals,Velvet,"[138, 124, 88]",124.08,Bohemian,12,Sunny,5.0
Tank Top,Velvet,"[209, 105, 225]",149.78,Joggers,Wool,"[194, 120, 136]",143.95,Running Shoes,Canvas,"[210, 187, 182]",193.31,Bohemian,18,Sunny,5.0
Blouse,Wool,"[118, 103, 111]",108.4,Chinos,Cotton,"[65, 8, 127]",38.61,Loafers,Suede,"[42, 247, 235]",184.34,Vintage,3,Sunny,5.0
T-shirt,Leather,"[135, 166, 22]",140.31,Chinos,Leather,"[185, 43, 23]",83.18,Loafers,Synthetic,"[172, 88, 23]",105.71,Streetwear,7,Cloudy,3.5
T-shirt,Nylon,"[155, 222, 229]",202.76,Cargo Pants,Cotton,"[87, 171, 248]",154.66,Loafers,Velvet,"[11, 162, 232]",124.83,Preppy,18,Windy,5.0
Tank Top,Silk,"[62, 42, 220]",68.27,Culottes,Denim,"[9, 86, 48]",58.65,Sneakers,Denim,"[9, 30, 184]",41.28,Minimalist,5,Snowy,1.5
Coat,Cotton,"[208, 182, 72]",177.23,Skirt,Cotton,"[253, 196, 92]",201.19,Moccasins,Synthetic,"[255, 167, 87]",184.19,Minimalist,1,Sunny,4.0
Polo,Polyester,"[232, 98, 100]",138.29,Leggings,Linen,"[46, 154, 42]",108.94,Boots,Leather,"[179, 214, 57]",185.64,Business Casual,18,Cloudy,5.0
Sweater,Polyester,"[203, 108, 249]",152.48,Trousers,Polyester,"[137, 83, 38]",94.02,Sneakers,Rubber,"[250, 78, 162]",139.0,Preppy,18,Cloudy,5.0
Jacket,Denim,"[27, 98, 227]",91.48,Joggers,Denim,"[228, 51, 93]",108.71,Boots,Wool,"[22, 210, 164]",148.54,Bohemian,16,Snowy,3.5
Tunic,Wool,"[14, 64, 23]",44.38,Skirt,Cotton,"[221, 128, 128]",155.81,Sneakers,Rubber,"[64, 140, 0]",101.32,Business Casual,5,Windy,5.0
Blouse,Polyester,"[30, 172, 20]",112.21,Trousers,Wool,"[41, 232, 239]",175.69,Boots,Knit,"[192, 117, 94]",136.8,Bohemian,5,Snowy,3.5
Tank Top,Leather,"[100, 215, 170]",175.48,Joggers,Linen,"[119, 131, 197]",134.94,Flip-Flops,Leather,"[12, 88, 214]",79.64,Business Casual,9,Cloudy,5.0
T-shirt,Velvet,"[109, 175, 106]",147.4,Sweatpants,Velvet,"[174, 97, 145]",125.5,Boots,Canvas,"[245, 173, 31]",178.34,Business Casual,7,Windy,5.0
Jacket,Polyester,"[166, 121, 62]",127.73,Cargo Pants,Fleece,"[150, 59, 176]",99.55,Moccasins,Rubber,"[171, 207, 72]",180.85,Casual,10,Rainy,6.0
Cardigan,Polyester,"[217, 42, 10]",90.68,Leggings,Fleece,"[204, 250, 105]",219.72,Oxfords,Canvas,"[197, 148, 24]",148.51,Elegant,19,Cloudy,5.0
Polo,Cotton,"[93, 112, 87]",103.47,Culottes,Linen,"[240, 0, 54]",77.92,Flip-Flops,Knit,"[179, 64, 6]",91.77,Formal,25,Rainy,1.0
Polo,Cotton,"[46, 14, 124]",36.11,Leggings,Linen,"[191, 130, 104]",145.27,Sandals,Rubber,"[185, 252, 67]",210.88,Sporty,3,Sunny,5.0
Hoodie,Velvet,"[1, 203, 39]",123.91,Chinos,Denim,"[173, 135, 4]",131.43,Espadrilles,Leather,"[54, 174, 229]",144.39,Minimalist,32,Rainy,2.5
T-shirt,Leather,"[76, 160, 162]",135.11,Cargo Pants,Silk,"[102, 110, 17]",97.01,Moccasins,Denim,"[239, 9, 107]",88.94,Sporty,21,Snowy,1.5
Jacket,Cotton,"[189, 193, 134]",185.08,Chinos,Velvet,"[96, 99, 232]",113.27,Espadrilles,Synthetic,"[129, 138, 214]",143.97,Bohemian,16,Windy,5.0
T-shirt,Denim,"[209, 31, 94]",91.4,Jeans,Denim,"[22, 200, 36]",128.08,Loafers,Mesh,"[250, 103, 66]",142.74,Business Casual,7,Rainy,5.0
Blouse,Cotton,"[241, 213, 71]",205.18,Joggers,Denim,"[79, 158, 250]",144.87,Sneakers,Knit,"[187, 154, 61]",153.26,Bohemian,18,Snowy,1.5
Coat,Velvet,"[215, 65, 237]",129.46,Joggers,Nylon,"[127, 134, 10]",117.77,Heels,Suede,"[216, 240, 140]",221.42,Vintage,5,Cloudy,5.0
Tunic,Nylon,"[180, 88, 215]",129.99,Skirt,Silk,"[100, 232, 2]",166.31,Boots,Synthetic,"[169, 235, 78]",197.37,Elegant,25,Sunny,5.0
T-shirt,Velvet,"[64, 143, 82]",112.42,Skirt,Nylon,"[195, 225, 7]",191.18,Boots,Synthetic,"[159, 28, 25]",66.83,Casual,27,Rainy,5.5
Sweater,Wool,"[10, 133, 130]",95.88,Chinos,Polyester,"[58, 169, 86]",126.35,Oxfords,Mesh,"[228, 108, 181]",152.2,Elegant,2,Rainy,6.5
Hoodie,Nylon,"[184, 201, 70]",180.98,Jeans,Leather,"[243, 25, 219]",112.3,Oxfords,Suede,"[48, 98, 247]",100.04,Minimalist,0,Snowy,3.0
Tunic,Nylon,"[13, 206, 81]",134.04,Shorts,Fleece,"[98, 39, 24]",54.93,Flip-Flops,Canvas,"[159, 241, 48]",194.48,Sporty,23,Sunny,5.0
Sweater,Nylon,"[116, 217, 124]",176.2,Sweatpants,Leather,"[244, 129, 87]",158.6,Moccasins,Canvas,"[127, 181, 205]",167.59,Formal,17,Sunny,5.0
Tunic,Velvet,"[80, 215, 3]",150.47,Jeans,Nylon,"[49, 249, 110]",173.35,Moccasins,Wool,"[199, 234, 34]",200.74,Vintage,32,Cloudy,5.0
Sweater,Leather,"[225, 190, 73]",187.13,Sweatpants,Fleece,"[10, 180, 47]",114.01,Flip-Flops,Knit,"[161, 165, 219]",169.96,Minimalist,8,Cloudy,5.0
Tank Top,Cotton,"[8, 59, 139]",52.87,Chinos,Silk,"[180, 240, 255]",223.77,Running Shoes,Velvet,"[192, 35, 157]",95.85,Vintage,6,Sunny,5.0
Tunic,Cotton,"[91, 51, 196]",79.49,Leggings,Velvet,"[208, 206, 218]",207.97,Oxfords,Velvet,"[56, 129, 157]",110.36,Streetwear,25,Cloudy,3.5
Polo,Polyester,"[133, 119, 94]",120.34,Cargo Pants,Silk,"[162, 136, 165]",147.08,Running Shoes,Velvet,"[69, 58, 82]",64.03,Vintage,14,Windy,5.0
Blouse,Denim,"[60, 44, 243]",71.47,Jeans,Denim,"[61, 106, 218]",105.31,Running Shoes,Mesh,"[173, 3, 163]",72.07,Sporty,25,Sunny,5.0
T-shirt,Leather,"[35, 206, 164]",150.08,Culottes,Nylon,"[19, 179, 152]",128.08,Loafers,Leather,"[57, 233, 185]",174.9,Casual,11,Snowy,1.5
Cardigan,Linen,"[244, 137, 182]",174.12,Cargo Pants,Linen,"[14, 174, 162]",124.79,Moccasins,Leather,"[114, 27, 209]",73.76,Business Casual,27,Cloudy,2.5
T-shirt,Fleece,"[71, 40, 227]",70.59,Culottes,Velvet,"[72, 234, 121]",172.68,Boots,Wool,"[84, 170, 141]",140.98,Elegant,3,Rainy,1.5
Polo,Cotton,"[13, 201, 167]",140.91,Joggers,Polyester,"[226, 11, 171]",93.52,Espadrilles,Leather,"[223, 161, 43]",166.09,Business Casual,4,Rainy,5.0
Jacket,Cotton,"[96, 76, 101]",84.83,Shorts,Velvet,"[247, 89, 212]",150.26,Running Shoes,Velvet,"[254, 164, 206]",195.7,Preppy,4,Cloudy,2.5
Blouse,Leather,"[27, 37, 13]",31.27,Leggings,Velvet,"[117, 205, 173]",175.04,Running Shoes,Denim,"[210, 45, 62]",96.27,Formal,30,Windy,5.0
Sweater,Leather,"[251, 88, 132]",141.75,Skirt,Silk,"[96, 110, 5]",93.84,Oxfords,Knit,"[7, 200, 31]",123.03,Sporty,35,Snowy,1.0
Tunic,Leather,"[181, 187, 102]",175.52,Leggings,Linen,"[74, 234, 14]",161.08,Espadrilles,Wool,"[149, 160, 177]",158.65,Formal,35,Cloudy,5.0
T-shirt,Leather,"[168, 159, 185]",164.66,Shorts,Leather,"[218, 70, 251]",134.89,Moccasins,Denim,"[246, 3, 86]",85.12,Streetwear,5,Cloudy,5.0
Cardigan,Polyester,"[75, 94, 28]",80.79,Chinos,Leather,"[14, 39, 25]",29.93,Sneakers,Rubber,"[103, 150, 174]",138.68,Formal,-1,Snowy,1.0
Sweater,Polyester,"[151, 198, 43]",166.28,Culottes,Cotton,"[48, 236, 83]",162.35,Sandals,Velvet,"[255, 164, 25]",175.36,Elegant,16,Cloudy,5.0
Tank Top,Wool,"[194, 112, 188]",145.18,Shorts,Fleece,"[150, 40, 59]",75.06,Loafers,Synthetic,"[117, 157, 190]",148.8,Casual,5,Windy,5.0
Tunic,Polyester,"[191, 220, 127]",200.73,Jeans,Silk,"[5, 57, 47]",40.31,Loafers,Rubber,"[128, 172, 0]",139.24,Formal,26,Cloudy,5.0
Tunic,Cotton,"[142, 110, 116]",120.25,Shorts,Silk,"[80, 62, 251]",88.93,Espadrilles,Synthetic,"[120, 166, 90]",143.58,Business Casual,15,Rainy,5.0
Cardigan,Polyester,"[43, 182, 13]",121.17,Jeans,Denim,"[184, 28, 171]",90.95,Oxfords,Denim,"[61, 161, 215]",137.26,Preppy,33,Sunny,5.0
Coat,Velvet,"[209, 133, 193]",162.56,Skirt,Silk,"[133, 169, 104]",150.83,Sandals,Rubber,"[68, 66, 160]",77.31,Minimalist,6,Rainy,4.0
Coat,Fleece,"[176, 80, 41]",104.26,Jeans,Velvet,"[244, 133, 119]",164.59,Running Shoes,Wool,"[244, 115, 46]",145.71,Formal,26,Windy,2.5
Tank Top,Fleece,"[186, 210, 105]",190.85,Trousers,Linen,"[157, 122, 192]",140.44,Flip-Flops,Rubber,"[248, 156, 187]",187.04,Elegant,2,Cloudy,1.0
Sweater,Silk,"[183, 224, 140]",202.16,Joggers,Silk,"[20, 160, 170]",119.28,Oxfords,Canvas,"[203, 37, 176]",102.48,Preppy,15,Cloudy,5.0
Jacket,Velvet,"[5, 158, 153]",111.68,Sweatpants,Denim,"[95, 34, 55]",54.63,Sneakers,Canvas,"[210, 50, 172]",111.75,Minimalist,7,Rainy,6.0
Cardigan,Leather,"[242, 82, 15]",122.2,Sweatpants,Velvet,"[161, 229, 18]",184.61,Running Shoes,Mesh,"[29, 166, 64]",113.41,Sporty,30,Snowy,1.0
Tunic,Cotton,"[72, 220, 33]",154.43,Trousers,Cotton,"[19, 198, 233]",148.47,Sneakers,Canvas,"[148, 87, 226]",121.08,Preppy,24,Snowy,1.5
Coat,Velvet,"[17, 160, 113]",111.88,Cargo Pants,Denim,"[221, 157, 252]",186.97,Moccasins,Rubber,"[209, 156, 223]",179.48,Preppy,18,Rainy,6.0
T-shirt,Velvet,"[182, 36, 59]",82.28,Shorts,Linen,"[177, 60, 89]",98.29,Sneakers,Mesh,"[1, 25, 141]",31.05,Vintage,9,Sunny,5.0
T-shirt,Silk,"[114, 202, 47]",158.02,Trousers,Denim,"[36, 118, 48]",85.5,Sneakers,Wool,"[53, 205, 78]",145.07,Formal,27,Windy,3.0
Jacket,Linen,"[155, 235, 236]",211.19,Shorts,Fleece,"[145, 43, 30]",72.02,Boots,Denim,"[232, 63, 99]",117.63,Formal,28,Cloudy,3.5
Cardigan,Cotton,"[102, 120, 147]",117.7,Sweatpants,Polyester,"[223, 81, 68]",121.98,Oxfords,Suede,"[119, 200, 120]",166.66,Minimalist,8,Sunny,5.0
Blouse,Silk,"[45, 181, 16]",121.53,Skirt,Silk,"[214, 152, 241]",180.68,Espadrilles,Synthetic,"[93, 121, 195]",121.06,Casual,29,Snowy,1.5
Tunic,Linen,"[198, 241, 42]",205.46,Culottes,Wool,"[220, 134, 105]",156.41,Sneakers,Mesh,"[153, 79, 207]",115.72,Business Casual,-5,Cloudy,5.0
Coat,Wool,"[255, 11, 49]",88.29,Skirt,Fleece,"[108, 182, 187]",160.44,Heels,Knit,"[79, 171, 232]",150.45,Formal,3,Snowy,2.0
T-shirt,Silk,"[48, 162, 26]",112.41,Joggers,Nylon,"[211, 129, 129]",153.52,Oxfords,Canvas,"[138, 166, 40]",143.26,Business Casual,25,Rainy,5.0
Tank Top,Denim,"[173, 171, 171]",171.6,Skirt,Leather,"[32, 226, 166]",161.15,Moccasins,Wool,"[241, 15, 234]",107.54,Preppy,35,Snowy,3.5
Hoodie,Silk,"[198, 71, 153]",118.32,Chinos,Denim,"[237, 70, 156]",129.74,Boots,Synthetic,"[114, 118, 144]",119.77,Formal,16,Sunny,3.0
Sweater,Denim,"[123, 45, 180]",83.71,Skirt,Polyester,"[72, 125, 225]",120.55,Boots,Mesh,"[39, 45, 148]",54.95,Bohemian,7,Windy,5.0
Blouse,Linen,"[204, 233, 82]",207.12,Jeans,Denim,"[165, 70, 246]",118.47,Boots,Denim,"[212, 200, 122]",194.7,Preppy,35,Snowy,2.0
Blouse,Denim,"[247, 69, 236]",141.26,Chinos,Linen,"[253, 153, 108]",177.77,Flip-Flops,Wool,"[249, 163, 77]",178.91,Bohemian,8,Sunny,5.0
Hoodie,Linen,"[98, 238, 115]",182.12,Skirt,Leather,"[37, 157, 156]",121.01,Loafers,Wool,"[79, 193, 254]",165.87,Business Casual,28,Windy,2.5
Blouse,Denim,"[238, 38, 137]",109.09,Culottes,Denim,"[122, 6, 41]",44.67,Moccasins,Leather,"[237, 40, 84]",103.92,Casual,4,Sunny,5.0
Blouse,Denim,"[27, 214, 214]",158.09,Shorts,Wool,"[108, 75, 23]",78.94,Running Shoes,Velvet,"[21, 103, 74]",75.18,Sporty,24,Snowy,1.5
Jacket,Polyester,"[111, 132, 102]",122.3,Trousers,Nylon,"[150, 183, 106]",164.35,Sandals,Canvas,"[15, 109, 165]",87.28,Bohemian,-3,Windy,5.0
Blouse,Leather,"[155, 153, 158]",154.17,Chinos,Leather,"[250, 158, 125]",181.75,Flip-Flops,Knit,"[71, 241, 86]",172.5,Bohemian,-2,Rainy,1.0
Coat,Velvet,"[239, 79, 250]",146.33,Jeans,Leather,"[70, 3, 215]",47.2,Espadrilles,Knit,"[131, 244, 64]",189.69,Minimalist,-1,Windy,6.5
Tunic,Silk,"[176, 113, 35]",122.94,Culottes,Leather,"[27, 150, 181]",116.76,Sneakers,Wool,"[82, 139, 226]",131.88,Elegant,16,Snowy,1.0
Coat,Wool,"[116, 144, 245]",147.14,Jeans,Fleece,"[208, 13, 188]",91.25,Oxfords,Synthetic,"[105, 91, 8]",85.72,Sporty,26,Cloudy,1.0
Hoodie,Polyester,"[9, 143, 247]",114.79,Skirt,Fleece,"[221, 107, 178]",149.18,Heels,Leather,"[214, 88, 78]",124.53,Casual,0,Rainy,4.0
Cardigan,Velvet,"[46, 226, 14]",148.01,Jeans,Cotton,"[225, 221, 40]",201.56,Espadrilles,Synthetic,"[156, 157, 169]",158.07,Formal,28,Snowy,1.5
Polo,Polyester,"[155, 197, 103]",173.73,Leggings,Wool,"[246, 27, 121]",103.2,Sandals,Knit,"[106, 255, 95]",192.21,Streetwear,28,Cloudy,5.0
Jacket,Leather,"[126, 111, 212]",127.0,Chinos,Linen,"[59, 72, 78]",68.8,Sneakers,Mesh,"[21, 71, 91]",58.33,Streetwear,16,Cloudy,5.0
T-shirt,Denim,"[163, 51, 6]",79.36,Shorts,Velvet,"[74, 246, 199]",189.21,Loafers,Denim,"[226, 178, 98]",183.23,Business Casual,10,Cloudy,5.0
Coat,Silk,"[233, 84, 132]",134.02,Skirt,Fleece,"[52, 73, 199]",81.09,Running Shoes,Knit,"[149, 94, 44]",104.74,Minimalist,-3,Snowy,2.0
Jacket,Polyester,"[215, 186, 120]",187.15,Shorts,Nylon,"[43, 232, 233]",175.6,Loafers,Wool,"[129, 249, 128]",199.33,Preppy,14,Cloudy,5.0
Coat,Fleece,"[237, 19, 208]",105.73,Shorts,Fleece,"[72, 5, 211]",48.52,Espadrilles,Canvas,"[115, 217, 2]",161.99,Preppy,8,Rainy,6.0
Tank Top,Velvet,"[124, 243, 213]",204.0,Culottes,Velvet,"[151, 170, 219]",169.91,Loafers,Wool,"[36, 18, 23]",23.95,Business Casual,4,Cloudy,2.5
Jacket,Fleece,"[191, 239, 141]",213.48,Chinos,Nylon,"[11, 149, 146]",107.4,Sneakers,Denim,"[214, 149, 120]",165.13,Bohemian,5,Snowy,1.5
Jacket,Velvet,"[90, 179, 106]",144.07,Joggers,Wool,"[128, 105, 105]",111.88,Running Shoes,Velvet,"[124, 124, 60]",116.7,Formal,9,Sunny,5.0
Sweater,Fleece,"[196, 28, 163]",93.62,Shorts,Cotton,"[239, 1, 155]",89.72,Sneakers,Velvet,"[31, 156, 129]",115.55,Formal,35,Cloudy,1.0
Hoodie,Cotton,"[8, 74, 86]",55.63,Leggings,Cotton,"[94, 197, 49]",149.33,Flip-Flops,Denim,"[239, 234, 101]",220.33,Casual,25,Sunny,5.0
Cardigan,Wool,"[37, 24, 50]",30.85,Culottes,Wool,"[230, 150, 202]",179.85,Espadrilles,Leather,"[101, 32, 26]",51.95,Minimalist,34,Snowy,1.5
Jacket,Linen,"[220, 138, 84]",156.36,Trousers,Polyester,"[106, 91, 73]",93.43,Sneakers,Mesh,"[137, 97, 109]",110.33,Elegant,-5,Sunny,3.0
Jacket,Wool,"[232, 243, 143]",228.31,Chinos,Nylon,"[2, 64, 80]",47.29,Sneakers,Leather,"[248, 111, 219]",164.28,Streetwear,16,Snowy,1.5
Cardigan,Wool,"[22, 95, 89]",72.49,Culottes,Leather,"[98, 57, 207]",86.36,Sandals,Wool,"[226, 175, 102]",181.93,Business Casual,8,Rainy,3.0
Tank Top,Wool,"[184, 51, 58]",91.56,Shorts,Leather,"[201, 44, 35]",89.92,Oxfords,Canvas,"[129, 120, 157]",126.91,Formal,4,Windy,2.5
Hoodie,Linen,"[98, 21, 255]",70.7,Sweatpants,Polyester,"[210, 221, 25]",195.37,Espadrilles,Canvas,"[120, 19, 4]",47.49,Business Casual,-4,Windy,6.5
Tank Top,Cotton,"[231, 153, 65]",166.29,Jeans,Linen,"[180, 14, 212]",86.21,Moccasins,Canvas,"[96, 19, 121]",53.65,Bohemian,20,Sunny,5.0
T-shirt,Velvet,"[3, 41, 155]",42.63,Cargo Pants,Nylon,"[139, 108, 80]",114.08,Sneakers,Leather,"[251, 156, 33]",170.38,Preppy,0,Windy,2.5
T-shirt,Nylon,"[60, 118, 91]",97.58,Culottes,Fleece,"[253, 191, 21]",190.16,Espadrilles,Synthetic,"[55, 141, 213]",123.49,Formal,27,Sunny,3.0
Tank Top,Cotton,"[26, 64, 141]",61.42,Sweatpants,Fleece,"[241, 125, 124]",159.57,Running Shoes,Rubber,"[23, 152, 186]",117.3,Sporty,25,Sunny,5.0
T-shirt,Fleece,"[172, 246, 5]",196.4,Jeans,Polyester,"[15, 60, 164]",58.4,Flip-Flops,Denim,"[34, 215, 212]",160.54,Minimalist,23,Sunny,5.0
Tank Top,Fleece,"[92, 80, 140]",90.43,Joggers,Linen,"[56, 248, 197]",184.78,Heels,Suede,"[136, 107, 186]",124.68,Sporty,-3,Rainy,2.5
Hoodie,Wool,"[42, 228, 98]",157.57,Culottes,Leather,"[230, 188, 138]",194.86,Boots,Synthetic,"[214, 66, 182]",123.48,Minimalist,4,Windy,7.5
T-shirt,Leather,"[173, 115, 115]",132.34,Chinos,Leather,"[157, 58, 75]",89.54,Heels,Rubber,"[1, 247, 194]",167.4,Casual,-2,Cloudy,2.5
